customer_id,WeekStart,spend,R_weeks,F_run,M_run
12494,2010-12-05,57.6,52,1,28.8
12683,2010-12-05,1063.08,52,2,531.54
12712,2010-12-05,295.1,52,2,235.31500000000003
12763,2010-12-05,320.08,52,1,160.04
12921,2010-12-05,365.4,52,2,343.9
13089,2010-12-05,3230.620000000001,52,3,1615.3100000000004
13126,2010-12-05,223.44,52,2,111.72
13269,2010-12-05,351.43,52,1,175.715
13455,2010-12-05,692.9399999999999,52,1,346.46999999999997
13468,2010-12-05,222.18,52,3,291.115
13599,2010-12-05,352.84000000000003,52,2,176.42000000000002
13758,2010-12-05,356.4,52,2,359.425
13838,2010-12-05,238.10999999999987,52,1,119.05499999999994
13854,2010-12-05,309.4,52,1,154.7
14062,2010-12-05,966.62,52,1,483.30999999999995
14243,2010-12-05,213.3,52,1,106.65
14443,2010-12-05,303.5,52,1,151.75
14479,2010-12-05,174.4,52,1,87.2
14713,2010-12-05,298.95,52,1,149.475
14766,2010-12-05,180.4,52,1,90.2
14796,2010-12-05,671.2100000000002,52,1,335.6050000000001
14800,2010-12-05,555.8399999999999,52,1,277.91999999999996
14810,2010-12-05,180.44000000000003,52,1,90.22
14896,2010-12-05,257.21999999999997,52,1,128.61
15018,2010-12-05,111.25,52,1,55.625
15061,2010-12-05,7937.439999999999,52,11,8672.39
15100,2010-12-05,350.4,52,2,350.4
15221,2010-12-05,403.25,52,1,201.625
15298,2010-12-05,397.5999999999999,52,1,198.79999999999995
15332,2010-12-05,1661.06,52,4,830.53
15356,2010-12-05,150.21999999999997,52,1,75.10999999999999
15529,2010-12-05,321.46000000000004,52,2,160.73000000000002
15628,2010-12-05,319.18,52,1,159.59
15750,2010-12-05,340.52000000000004,52,2,170.26000000000002
15945,2010-12-05,181.0,52,1,90.5
15953,2010-12-05,209.84,52,1,104.92
16086,2010-12-05,177.26,52,1,88.63
16353,2010-12-05,204.0,52,1,102.0
16402,2010-12-05,211.79999999999993,52,1,105.89999999999996
16656,2010-12-05,428.76,52,1,214.38
16700,2010-12-05,336.94000000000005,52,1,168.47000000000003
16722,2010-12-05,799.5200000000002,52,2,399.7600000000001
16727,2010-12-05,272.81999999999994,52,1,136.40999999999997
16775,2010-12-05,231.9,52,1,115.95
16858,2010-12-05,375.69000000000005,52,1,187.84500000000003
16893,2010-12-05,145.93000000000004,52,1,72.96500000000002
16898,2010-12-05,116.08,52,1,58.040000000000006
16950,2010-12-05,172.0,52,1,86.0
16955,2010-12-05,33.0,52,2,94.54999999999998
17019,2010-12-05,358.82,52,1,179.41
17223,2010-12-05,292.84,52,1,146.42
17450,2010-12-05,2028.84,52,2,1014.42
17591,2010-12-05,406.6,52,1,203.3
17674,2010-12-05,300.66,52,1,150.33
17690,2010-12-05,311.1,52,4,343.95000000000005
17722,2010-12-05,910.1400000000002,52,1,455.0700000000001
18065,2010-12-05,345.0199999999999,52,2,172.50999999999996
18102,2010-12-05,27834.61,52,4,13917.305
18269,2010-12-05,168.6,52,1,84.3
12353,2010-12-05,0.0,52,0,0.0
12359,2010-12-05,0.0,52,0,0.0
12364,2010-12-05,0.0,52,0,0.0
12383,2010-12-05,0.0,52,0,0.0
12391,2010-12-05,0.0,52,0,0.0
12394,2010-12-05,0.0,52,0,0.0
12401,2010-12-05,0.0,52,0,0.0
12405,2010-12-05,0.0,52,0,0.0
12413,2010-12-05,0.0,52,0,0.0
12432,2010-12-05,0.0,52,0,0.0
12436,2010-12-05,0.0,52,0,0.0
12448,2010-12-05,0.0,52,0,0.0
12454,2010-12-05,0.0,52,0,0.0
12483,2010-12-05,0.0,52,0,0.0
12497,2010-12-05,0.0,52,0,0.0
12506,2010-12-05,0.0,52,0,0.0
12514,2010-12-05,0.0,52,0,0.0
12524,2010-12-05,0.0,52,0,0.0
12534,2010-12-05,0.0,52,0,0.0
12556,2010-12-05,0.0,52,0,0.0
12561,2010-12-05,0.0,52,0,0.0
12572,2010-12-05,0.0,52,0,0.0
12574,2010-12-05,0.0,52,0,0.0
12576,2010-12-05,0.0,52,0,0.0
12579,2010-12-05,0.0,52,0,0.0
12599,2010-12-05,0.0,52,0,0.0
12604,2010-12-05,0.0,52,0,0.0
12624,2010-12-05,0.0,52,0,0.0
12643,2010-12-05,0.0,52,0,0.0
12656,2010-12-05,0.0,52,0,0.0
12658,2010-12-05,0.0,52,0,0.0
12667,2010-12-05,0.0,52,0,0.0
12668,2010-12-05,0.0,52,0,0.0
12676,2010-12-05,0.0,52,0,0.0
12689,2010-12-05,0.0,52,0,0.0
12691,2010-12-05,0.0,52,0,0.0
12710,2010-12-05,0.0,52,0,0.0
12726,2010-12-05,0.0,52,0,0.0
12729,2010-12-05,0.0,52,0,0.0
12752,2010-12-05,0.0,52,0,0.0
12770,2010-12-05,0.0,52,0,0.0
12775,2010-12-05,0.0,52,0,0.0
12794,2010-12-05,0.0,52,0,0.0
12811,2010-12-05,0.0,52,0,0.0
12827,2010-12-05,0.0,52,0,0.0
12834,2010-12-05,0.0,52,0,0.0
12857,2010-12-05,0.0,52,0,0.0
12864,2010-12-05,0.0,52,0,0.0
12871,2010-12-05,0.0,52,0,0.0
12877,2010-12-05,0.0,52,0,0.0
12906,2010-12-05,0.0,52,0,0.0
12920,2010-12-05,0.0,52,0,0.0
12925,2010-12-05,0.0,52,0,0.0
12948,2010-12-05,0.0,52,0,0.0
12953,2010-12-05,0.0,52,0,0.0
12970,2010-12-05,0.0,52,0,0.0
12982,2010-12-05,0.0,52,0,0.0
12988,2010-12-05,0.0,52,0,0.0
12999,2010-12-05,0.0,52,0,0.0
13001,2010-12-05,0.0,52,0,0.0
13012,2010-12-05,0.0,52,0,0.0
13018,2010-12-05,0.0,52,0,0.0
13027,2010-12-05,0.0,52,0,0.0
13033,2010-12-05,0.0,52,0,0.0
13132,2010-12-05,0.0,52,0,0.0
13176,2010-12-05,0.0,52,0,0.0
13208,2010-12-05,0.0,52,0,0.0
13212,2010-12-05,0.0,52,0,0.0
13216,2010-12-05,0.0,52,0,0.0
13223,2010-12-05,0.0,52,0,0.0
13228,2010-12-05,0.0,52,0,0.0
13235,2010-12-05,0.0,52,0,0.0
13242,2010-12-05,0.0,52,0,0.0
13244,2010-12-05,0.0,52,0,0.0
13247,2010-12-05,0.0,52,0,0.0
13258,2010-12-05,0.0,52,0,0.0
13261,2010-12-05,0.0,52,0,0.0
13262,2010-12-05,0.0,52,0,0.0
13263,2010-12-05,0.0,52,0,0.0
13271,2010-12-05,0.0,52,0,0.0
13292,2010-12-05,0.0,52,0,0.0
13332,2010-12-05,0.0,52,0,0.0
13349,2010-12-05,0.0,52,0,0.0
13350,2010-12-05,0.0,52,0,0.0
13364,2010-12-05,0.0,52,0,0.0
13394,2010-12-05,0.0,52,0,0.0
13397,2010-12-05,0.0,52,0,0.0
13411,2010-12-05,0.0,52,0,0.0
13430,2010-12-05,0.0,52,0,0.0
13439,2010-12-05,0.0,52,0,0.0
13450,2010-12-05,0.0,52,0,0.0
